hurricane_id,category,landfall_node_ids,unusable_links,water_demand_1000gal,food_demand_1000units,medicine_demand_units,facility_loss_fraction
1,3,5,"(4,5)",350,525,500,1.0
2,5,14,"(12,14);(14,15);(15,24)",560,927,883,1.0
3,2,22,,861,181,402,0.5
4,2,22,"(17,20)",9000,1692,3760,0.5
5,4,"11,29",,7500,1771,1687,1.0
6,3,15,,1000,1838,1751,1.0
7,2,21,"(21,22)",600,324,720,0.5
8,1,11,"(8,12)",1500,162,360,0.5
9,5,"13,29","(12,13)",1040,13300,95000,1.0
10,2,,,2250,1125,18750,0.5
11,3,21,"(21,22)",5000,1750,12500,1.0
12,3,,"(15,24)",18000,630,4500,1.0
13,3,,,2818,80,571,1.0
14,4,"14,30",,2239,1477,10551,1.0
15,4,22,,4400,3921,28007,1.0
