node_id,city,state,lat,lon,notes
1,Brownsville,TX,25.9018,-97.4975,
2,Corpus Christi,TX,27.8006,-97.3964,
3,San Antonio,TX,29.4241,-98.4936,
4,Fort Worth/Dallas,TX,32.7555,-97.3308,
5,Houston,TX,29.7604,-95.3698,
6,Little Rock,AR,34.7465,-92.2896,
7,Memphis,TN,35.1495,-90.0490,
8,Jackson,MS,32.2988,-90.1848,
9,Shreveport,LA,32.5252,-93.7502,estimated node position (LA/AR border)
10,Beaumont/Port Arthur,TX,30.0802,-94.1266,
11,Baton Rouge,LA,30.4515,-91.1871,
12,New Orleans,LA,29.9511,-90.0715,
13,Biloxi,MS,30.3960,-88.8853,
14,Mobile,AL,30.6954,-88.0399,
15,Pensacola,FL,30.4213,-87.2169,
16,Birmingham,AL,33.5186,-86.8104,
17,Nashville,TN,36.1627,-86.7816,
18,Atlanta,GA,33.7490,-84.3880,
19,Columbia,SC,34.0007,-81.0348,
20,Charlotte,NC,35.2271,-80.8431,
21,Wilmington,NC,34.2257,-77.9447,
22,Charleston,SC,32.7765,-79.9311,
23,Savannah,GA,32.0809,-81.0912,
24,Tallahassee,FL,30.4383,-84.2807,
25,Gainesville,FL,29.6516,-82.3248,
26,Jacksonville,FL,30.3322,-81.6557,
27,Orlando,FL,28.5383,-81.3792,
28,Tampa,FL,27.9506,-82.4572,
29,Miami,FL,25.7617,-80.1918,
30,Key West,FL,24.5551,-81.7800,
