scenario_id,hurricane_1,hurricane_2,probability,type
1,1,,0.02308,single
2,5,,0.05,single
3,10,,0.16167,single
4,3,,0.05363,single
5,2,,0.00925,single
6,12,,0.03083,single
7,13,,0.1338,single
8,4,,0.05363,single
9,11,,0.02295,single
10,14,,0.02295,single
11,15,,0.02295,single
12,7,,0.05363,single
13,9,,0.05,single
14,8,,0.0308,single
15,6,,0.03083,single
16,1,2,0.0046,combined
17,1,4,0.0057,combined
18,1,7,0.0057,combined
19,10,2,0.006,combined
20,10,13,0.0261,combined
21,10,9,0.0125,combined
22,10,8,0.0094,combined
23,2,5,0.005,combined
24,2,6,0.0047,combined
25,12,1,0.0052,combined
26,12,3,0.0061,combined
27,12,2,0.0047,combined
28,12,4,0.0061,combined
29,12,14,0.0052,combined
30,13,2,0.0057,combined
31,13,8,0.0086,combined
32,4,2,0.005,combined
33,11,5,0.0056,combined
34,11,12,0.0052,combined
35,11,13,0.0075,combined
36,11,7,0.0057,combined
37,14,3,0.0057,combined
38,14,6,0.0052,combined
39,15,5,0.0056,combined
40,15,7,0.0057,combined
41,15,13,0.0075,combined
42,15,14,0.005,combined
43,9,1,0.0056,combined
44,9,14,0.0056,combined
45,8,5,0.006,combined
46,8,3,0.0061,combined
47,8,7,0.0061,combined
48,6,5,0.006,combined
49,6,3,0.0061,combined
50,6,7,0.0061,combined
51,,,0.0174,no_hurricane
