SECTION,ROW,VALUES
c,,"150,230,260"
A_ub,,"1,1,1"
b_ub,,500
q,,"-170,238,-150,210,-36,-10,0"
W,1,"-1,1,0,0,0,0,0"
W,2,"0,0,-1,1,0,0,0"
W,3,"0,0,0,0,-1,-1,0"
W,4,"0,0,0,0,-1,0,-1"
h_base,,"200,240,0,-6000"
Scenario1,prob,0.3333333333333333
Scenario1,yield_w,3.0
Scenario1,yield_c,3.6
Scenario1,yield_b,24.0
Scenario2,prob,0.3333333333333333
Scenario2,yield_w,2.5
Scenario2,yield_c,3.0
Scenario2,yield_b,20.0
Scenario3,prob,0.3333333333333333
Scenario3,yield_w,2.0
Scenario3,yield_c,2.4
Scenario3,yield_b,16.0
