SECTION,ROW,VALUES
c,,"150,230,260"
A_ub,,"1,1,1"
b_ub,,500
q,,"-170,238,-150,210,-36,-10,0"
W,1,"-1,1,0,0,0,0,0"
W,2,"0,0,-1,1,0,0,0"
W,3,"0,0,0,0,-1,-1,0"
W,4,"0,0,0,0,-1,0,-1"
h_base,,"200,240,0,-6000"
Scenario1,prob,0.002
Scenario1,yield_w,2.798
Scenario1,yield_c,3.6483
Scenario1,yield_b,26.2971
Scenario2,prob,0.002
Scenario2,yield_w,2.417
Scenario2,yield_c,4.3366
Scenario2,yield_b,24.1609
Scenario3,prob,0.002
Scenario3,yield_w,2.8886
Scenario3,yield_c,2.021
Scenario3,yield_b,20.2683
Scenario4,prob,0.002
Scenario4,yield_w,3.4138
Scenario4,yield_c,3.3941
Scenario4,yield_b,17.0888
Scenario5,prob,0.002
Scenario5,yield_w,2.3595
Scenario5,yield_c,2.5446
Scenario5,yield_b,23.142
Scenario6,prob,0.002
Scenario6,yield_w,2.3595
Scenario6,yield_c,2.659
Scenario6,yield_b,21.7707
Scenario7,prob,0.002
Scenario7,yield_w,3.4475
Scenario7,yield_c,2.5853
Scenario7,yield_b,24.0284
Scenario8,prob,0.002
Scenario8,yield_w,2.9605
Scenario8,yield_c,2.3952
Scenario8,yield_b,22.8583
Scenario9,prob,0.002
Scenario9,yield_w,2.2183
Scenario9,yield_c,3.034
Scenario9,yield_b,24.723
Scenario10,prob,0.002
Scenario10,yield_w,2.8255
Scenario10,yield_c,2.4183
Scenario10,yield_b,17.5914
Scenario11,prob,0.002
Scenario11,yield_w,2.2219
Scenario11,yield_c,3.1893
Scenario11,yield_b,25.9283
Scenario12,prob,0.002
Scenario12,yield_w,2.2206
Scenario12,yield_c,2.9648
Scenario12,yield_b,20.8892
Scenario13,prob,0.002
Scenario13,yield_w,2.6452
Scenario13,yield_c,2.8327
Scenario13,yield_b,29.3387
Scenario14,prob,0.002
Scenario14,yield_w,1.352
Scenario14,yield_c,2.3647
Scenario14,yield_b,16.8987
Scenario15,prob,0.002
Scenario15,yield_w,1.465
Scenario15,yield_c,2.5963
Scenario15,yield_b,27.8118
Scenario16,prob,0.002
Scenario16,yield_w,2.1626
Scenario16,yield_c,3.5288
Scenario16,yield_b,20.8906
Scenario17,prob,0.002
Scenario17,yield_w,1.8923
Scenario17,yield_c,3.3506
Scenario17,yield_b,17.0686
Scenario18,prob,0.002
Scenario18,yield_w,2.6885
Scenario18,yield_c,2.3157
Scenario18,yield_b,17.8225
Scenario19,prob,0.002
Scenario19,yield_w,1.9552
Scenario19,yield_c,3.0695
Scenario19,yield_b,18.5584
Scenario20,prob,0.002
Scenario20,yield_w,1.6526
Scenario20,yield_c,3.526
Scenario20,yield_b,21.9087
Scenario21,prob,0.002
